id;iccid;imsi;eid;state;active;subscription_id;device_id
1;8991101200003204514;310170845466094;25178532478950649799434445669756;DELETED;true;1;1
2;9991101200003204514;B502130123456789;33186638491354951160524161715772;DISABLED;true;2;2
3;1991101200003204514;460001357924680;93268760734667122777633535858805;UNKNOWN;false;3;2
4;2991101200003204514;520031234567890;04745367274732136414647515631310;DELETED;true;4;2
5;3991101200003204514;470010171566423;83106678147029762463759621015716;ERROR;true;5;5
6;4991101200003204514;313460000000001;37256276789335298637727359801858;RELEASED;true;6;6
7;5991101200003204514;413460000000001;04772190818385615700702739854214;ALLOCATED;false;7;7
8;6991101200003204514;513460000000001;26987870029398786328447044838014;DISABLED;true;8;8
9;7991101200003204514;613460000000001;62027144664240570765530974200707;INSTALLED;false;9;9
10;8891101200003204514;713460000000001;89140887104936769126602654717501;ERROR;false;10;10
